,id,m1,m2,size,x0.25,x0.2,x0.15
72,73,0.2808988764044944,113.53183520599251,"(1032, 774)",0.1997971534729004,0.18686175346374512,0.17526006698608398
73,74,0.23303834808259588,107.58185840707965,"(1032, 774)",1.274658203125,0.9808990955352783,0.5240602493286133
74,75,0.2694805194805195,104.22727272727273,"(1032, 774)",0.21076607704162598,0.1964101791381836,0.17609596252441406
75,76,0.4472608340147179,94.69664758789861,"(1032, 774)",0.5559847354888916,0.4750189781188965,0.3064248561859131
76,77,0.5487179487179488,110.43589743589743,"(1032, 774)",0.18989801406860352,0.18042993545532227,0.16524481773376465
77,78,0.36772046589018303,113.90848585690516,"(1032, 774)",0.23908710479736328,0.21714091300964355,0.18415093421936035
78,79,0.3333333333333333,108.816091954023,"(1032, 774)",0.16886210441589355,0.17126703262329102,0.15135979652404785
79,80,0.2789317507418398,115.1839762611276,"(1032, 774)",0.1985321044921875,0.18643593788146973,0.16807293891906738
80,81,0.764367816091954,117.85057471264368,"(320, 240)",0.18641185760498047,0.17634296417236328,0.15491008758544922
81,82,0.31189710610932475,113.92282958199357,"(1032, 774)",0.1953427791595459,0.1824939250946045,0.1673130989074707
82,83,0.37943262411347517,119.68085106382979,"(1032, 774)",0.18362712860107422,0.1746819019317627,0.16474270820617676
83,84,0.1511627906976744,116.12403100775194,"(1032, 774)",0.20321893692016602,0.2010478973388672,0.17530608177185059
84,85,0.40237691001697795,112.67062818336163,"(1032, 774)",0.22299504280090332,0.20610713958740234,0.1782829761505127
85,86,0.18859649122807018,107.80701754385964,"(1032, 774)",0.20155620574951172,0.20078682899475098,0.17250490188598633
86,87,0.13925327951564076,103.09989909182644,"(1032, 774)",0.4724588394165039,0.39418911933898926,0.2888362407684326
87,88,0.3953488372093023,123.68895348837209,"(1032, 774)",0.18695497512817383,0.18805885314941406,0.15701770782470703
88,89,0.40106951871657753,119.98930481283422,"(1032, 774)",0.1994621753692627,0.1972041130065918,0.1650090217590332
89,90,0.28969957081545067,114.76394849785407,"(1032, 774)",0.21104788780212402,0.20862412452697754,0.17145800590515137
90,91,0.3923766816143498,115.05381165919283,"(1032, 774)",0.21783781051635742,0.2234058380126953,0.16798114776611328
91,92,0.4659090909090909,119.02272727272727,"(1032, 774)",0.17111802101135254,0.1692180633544922,0.15552997589111328
92,93,0.3062015503875969,111.79069767441861,"(1032, 774)",0.18660879135131836,0.18814682960510254,0.159926176071167
93,94,0.505524861878453,114.21270718232044,"(1032, 774)",0.18278288841247559,0.1774768829345703,0.1653130054473877
94,95,0.20088300220750552,109.77814569536424,"(1032, 774)",0.5990519523620605,0.39830613136291504,0.30721521377563477
95,96,0.26218851570964247,107.82123510292524,"(1032, 774)",0.413895845413208,0.3519439697265625,0.23168516159057617
96,97,0.3402061855670103,113.9278350515464,"(1032, 774)",0.2090599536895752,0.21190190315246582,0.16788601875305176
97,98,0.39106145251396646,119.69832402234637,"(1032, 774)",0.17164182662963867,0.1644289493560791,0.15349388122558594
98,99,0.0773353751914242,115.44180704441041,"(1032, 774)",0.8227441310882568,0.7427530288696289,0.4150357246398926
99,100,0.1350806451612903,104.05342741935483,"(774, 1032)",0.4641711711883545,0.44394421577453613,0.2885110378265381
100,101,0.14625228519195613,117.80621572212065,"(1032, 774)",0.2556300163269043,0.26893115043640137,0.21330714225769043
101,102,0.3034188034188034,119.94871794871794,"(1032, 774)",0.23887896537780762,0.22501802444458008,0.17633509635925293
102,103,-1.0,-1.0,"(1032, 774)",0.15988993644714355,0.15480375289916992,0.14520812034606934
103,104,0.3708609271523179,133.60927152317882,"(1032, 774)",0.1695709228515625,0.18087100982666016,0.1522998809814453
104,105,0.17261904761904762,125.23611111111111,"(774, 1032)",0.2620668411254883,0.25131893157958984,0.18116116523742676
105,106,0.10714285714285714,121.10416666666667,"(774, 1032)",0.47945499420166016,0.3918449878692627,0.20688104629516602
